complex_type,province,city,complex_name,development_status,sale_rate,resident_companies,active_companies
국가,서울,구로구,한국수출산업 (①),완료,100.0,15232,13946
국가,서울,구로구,서울디지털 ①,완료,100.0,15232,13946
일반,서울,구로구,서울온수,완료,100.0,199,199
일반,서울,강서구,마곡,조성중,82.72,199,149
일반,서울,강동구,강동,미개발,0.0,0,0
국가,부산,강서구,명지·녹산 (① + ②),완료,100.0,1577,1294
국가,부산,강서구,녹산지구(산업단지) ①,완료,100.0,1577,1294
국가,부산,강서구,명지지구 ②,완료,0.0,0,0
일반,부산,강서구,부산과학 (① + ②),완료,98.06,238,238
일반,부산,강서구,부산과학 ①,완료,100.0,226,226
일반,부산,강서구,지사(외국인) ②,완료,93.29,12,12
일반,부산,강서구,부산신항배후국제산업물류도시(1단계),완료,93.6,545,536
일반,부산,기장군,명례,완료,100.0,125,122
일반,부산,사하구,산양,조성중,100.0,0,0
일반,부산,사하구,서부산스마트밸리(구:신평장림) (① + ②),완료,100.0,977,802
일반,부산,사하구,신평ㆍ장림(기존) ①,완료,100.0,434,324
일반,부산,사하구,신평ㆍ장림(협동화) ②,완료,100.0,543,478
일반,부산,해운대구,센텀시티,완료,100.0,2022,2022
일반,부산,강서구,풍상,완료,100.0,4,4
일반,부산,강서구,생곡,완료,100.0,104,99
일반,부산,강서구,명동지구,조성중,93.85,32,2
일반,부산,강서구,미음지구 (① + ②),완료,89.82,390,358
일반,부산,강서구,미음(산업단지) ①,완료,97.91,383,351
일반,부산,강서구,미음(외국인) ②,완료,45.82,7,7
일반,부산,기장군,동남권방사선의과학,조성중,77.7,40,18
일반,부산,기장군,부산신소재,완료,100.0,5,3
일반,부산,기장군,반룡,완료,100.0,91,91
일반,부산,기장군,오리,완료,84.48,79,66
일반,부산,기장군,동부산E-PARK 일반산업단지(구:기장대우),조성중,100.0,3,0
일반,부산,기장군,에코장안,완료,100.0,25,20
일반,부산,강서구,정주,완료,100.0,3,3
일반,부산,사상구,사상공업지역[재생사업지구],조성중,100.0,950,950
일반,부산,강서구,성우(구:거화),완료,100.0,18,18
일반,부산,기장군,기룡,완료,100.0,1,1
일반,부산,기장군,기룡2,완료,100.0,3,2
일반,부산,기장군,장안,완료,100.0,98,98
일반,부산,기장군,정관,완료,100.0,204,204
일반,부산,기장군,정관코리,완료,100.0,6,5
일반,부산,강서구,신호,완료,100.0,83,83
일반,부산,강서구,화전지구,완료,100.0,313,313
일반,부산,강서구,강서보고,완료,100.0,19,19
일반,부산,강서구,지사글로벌,완료,75.13,6,6
일반,부산,강서구,강서해성,미개발,0.0,0,0
일반,부산,강서구,지사2(구 진우),완료,100.0,18,18
일반,부산,강서구,부산연구개발특구첨단복합지구,미개발,0.0,0,0
일반,부산,강서구,부산명서일반산업단지,미개발,0.0,0,0
도시첨단,부산,강서구,부산에코델타시티,조성중,13.07,5,3
