material_name,sales_office,price,price_date
알루미늄(서구산),"부산,인천,대구,대전, 전북",4380000,2025-09-26
알루미늄(비서구산),"부산,인천,대구,전북",4370000,2025-09-26
구리(99.99%이상),"부산,인천,대구,대전, 전북",16100000,2025-09-26
납(99.99%이상),"인천,대구",3280000,2025-09-26
납(99.99%이상),전북,3200000,2025-09-26
납(99.99%이상),부산,3320000,2025-09-26
아연,"부산,인천,대구,전북",4880000,2025-09-26
주석(99.85%이상),"부산,인천,대구,전북",54080000,2025-09-26
주석(99.90%이상),"부산,인천,대구,전북",54240000,2025-09-26
니켈(합금용),"부산,인천,대구",25170000,2025-09-26
니켈(도금용),"부산,인천",25560000,2025-09-26
알루미늄(서구산),"부산,인천,대구,대전, 전북",4360000,2025-09-25
알루미늄(비서구산),"부산,인천,대구,전북",4350000,2025-09-25
구리(99.99%이상),"부산,인천,대구,대전, 전북",16190000,2025-09-25
납(99.99%이상),"인천,대구",3250000,2025-09-25
납(99.99%이상),전북,3170000,2025-09-25
납(99.99%이상),부산,3280000,2025-09-25
아연,"부산,인천,대구,전북",4900000,2025-09-25
주석(99.85%이상),"부산,인천,대구,전북",53690000,2025-09-25
주석(99.90%이상),"부산,인천,대구,전북",53850000,2025-09-25
니켈(합금용),"부산,인천,대구",25320000,2025-09-25
니켈(도금용),"부산,인천",25710000,2025-09-25
알루미늄(서구산),"부산,인천,대구,대전, 전북",4330000,2025-09-24
알루미늄(비서구산),"부산,인천,대구,전북",4320000,2025-09-24
구리(99.99%이상),"부산,인천,대구,대전, 전북",15510000,2025-09-24
납(99.99%이상),"인천,대구",3240000,2025-09-24
납(99.99%이상),전북,3160000,2025-09-24
납(99.99%이상),부산,3270000,2025-09-24
아연,"부산,인천,대구,전북",4780000,2025-09-24
주석(99.85%이상),"부산,인천,대구,전북",53490000,2025-09-24
주석(99.90%이상),"부산,인천,대구,전북",53640000,2025-09-24
니켈(합금용),"부산,인천,대구",25140000,2025-09-24
니켈(도금용),"부산,인천",25530000,2025-09-24
알루미늄(서구산),"부산,인천,대구,대전, 전북",4350000,2025-09-23
알루미늄(비서구산),"부산,인천,대구,전북",4340000,2025-09-23
구리(99.99%이상),"부산,인천,대구,대전, 전북",15510000,2025-09-23
납(99.99%이상),"인천,대구",3230000,2025-09-23
납(99.99%이상),전북,3150000,2025-09-23
납(99.99%이상),부산,3260000,2025-09-23
아연,"부산,인천,대구,전북",4790000,2025-09-23
주석(99.85%이상),"부산,인천,대구,전북",53020000,2025-09-23
주석(99.90%이상),"부산,인천,대구,전북",53180000,2025-09-23
니켈(합금용),"부산,인천,대구",24920000,2025-09-23
니켈(도금용),"부산,인천",25300000,2025-09-23
알루미늄(서구산),"부산,인천,대구,대전, 전북",4390000,2025-09-22
알루미늄(비서구산),"부산,인천,대구,전북",4380000,2025-09-22
구리(99.99%이상),"부산,인천,대구,대전, 전북",15560000,2025-09-22
납(99.99%이상),"인천,대구",3230000,2025-09-22
납(99.99%이상),전북,3150000,2025-09-22
납(99.99%이상),부산,3260000,2025-09-22
아연,"부산,인천,대구,전북",4790000,2025-09-22
주석(99.85%이상),"부산,인천,대구,전북",53280000,2025-09-22
주석(99.90%이상),"부산,인천,대구,전북",53440000,2025-09-22
니켈(합금용),"부산,인천,대구",25020000,2025-09-22
니켈(도금용),"부산,인천",25410000,2025-09-22
알루미늄(서구산),"부산,인천,대구,대전, 전북",4400000,2025-09-19
알루미늄(비서구산),"부산,인천,대구,전북",4380000,2025-09-19
구리(99.99%이상),"부산,인천,대구,대전, 전북",15410000,2025-09-19
납(99.99%이상),"인천,대구",3230000,2025-09-19
납(99.99%이상),전북,3150000,2025-09-19
납(99.99%이상),부산,3260000,2025-09-19
아연,"부산,인천,대구,전북",4780000,2025-09-19
주석(99.85%이상),"부산,인천,대구,전북",52310000,2025-09-19
주석(99.90%이상),"부산,인천,대구,전북",52470000,2025-09-19
니켈(합금용),"부산,인천,대구",24920000,2025-09-19
니켈(도금용),"부산,인천",25310000,2025-09-19
알루미늄(서구산),"부산,인천,대구,대전, 전북",4360000,2025-09-18
알루미늄(비서구산),"부산,인천,대구,전북",4350000,2025-09-18
구리(99.99%이상),"부산,인천,대구,대전, 전북",15410000,2025-09-18
납(99.99%이상),"인천,대구",3220000,2025-09-18
납(99.99%이상),전북,3140000,2025-09-18
납(99.99%이상),부산,3250000,2025-09-18
아연,"부산,인천,대구,전북",4790000,2025-09-18
주석(99.85%이상),"부산,인천,대구,전북",52970000,2025-09-18
주석(99.90%이상),"부산,인천,대구,전북",53120000,2025-09-18
니켈(합금용),"부산,인천,대구",24970000,2025-09-18
니켈(도금용),"부산,인천",25350000,2025-09-18
알루미늄(서구산),"부산,인천,대구,대전, 전북",4430000,2025-09-17
알루미늄(비서구산),"부산,인천,대구,전북",4420000,2025-09-17
구리(99.99%이상),"부산,인천,대구,대전, 전북",15610000,2025-09-17
납(99.99%이상),"인천,대구",3210000,2025-09-17
납(99.99%이상),전북,3130000,2025-09-17
납(99.99%이상),부산,3240000,2025-09-17
아연,"부산,인천,대구,전북",4890000,2025-09-17
주석(99.85%이상),"부산,인천,대구,전북",53760000,2025-09-17
주석(99.90%이상),"부산,인천,대구,전북",53920000,2025-09-17
니켈(합금용),"부산,인천,대구",24990000,2025-09-17
니켈(도금용),"부산,인천",25370000,2025-09-17
