물품순번,물품명,판매지방청명,판매금액,판매한도수량값,판매종료일자
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4380000,통합60톤/주,2025-09-26
2,알루미늄(비서구산),"부산,인천,대구,전북",4370000,통합60톤/주,2025-09-26
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",16100000,60톤/주 ,2025-09-26
4,납(99.99%이상),"인천,대구",3280000,240톤/주 ,2025-09-26
5,납(99.99%이상),전북,3200000,240톤/주 ,2025-09-26
6,납(99.99%이상),부산,3320000,240톤/주 ,2025-09-26
7,아연,"부산,인천,대구,전북",4880000,18톤/주 ,2025-09-26
8,주석(99.85%이상),"부산,인천,대구,전북",54080000,7톤/주 ,2025-09-26
9,주석(99.90%이상),"부산,인천,대구,전북",54240000,5톤/주 ,2025-09-26
10,니켈(합금용),"부산,인천,대구",25170000,6톤/주 ,2025-09-26
11,니켈(도금용),"부산,인천",25560000,4톤/주,2025-09-26
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4360000,통합60톤/주,2025-09-25
2,알루미늄(비서구산),"부산,인천,대구,전북",4350000,통합60톤/주,2025-09-25
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",16190000,60톤/주 ,2025-09-25
4,납(99.99%이상),"인천,대구",3250000,240톤/주 ,2025-09-25
5,납(99.99%이상),전북,3170000,240톤/주 ,2025-09-25
6,납(99.99%이상),부산,3280000,240톤/주 ,2025-09-25
7,아연,"부산,인천,대구,전북",4900000,18톤/주 ,2025-09-25
8,주석(99.85%이상),"부산,인천,대구,전북",53690000,7톤/주 ,2025-09-25
9,주석(99.90%이상),"부산,인천,대구,전북",53850000,5톤/주 ,2025-09-25
10,니켈(합금용),"부산,인천,대구",25320000,6톤/주 ,2025-09-25
11,니켈(도금용),"부산,인천",25710000,4톤/주,2025-09-25
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4330000,통합60톤/주,2025-09-24
2,알루미늄(비서구산),"부산,인천,대구,전북",4320000,통합60톤/주,2025-09-24
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15510000,60톤/주 ,2025-09-24
4,납(99.99%이상),"인천,대구",3240000,240톤/주 ,2025-09-24
5,납(99.99%이상),전북,3160000,240톤/주 ,2025-09-24
6,납(99.99%이상),부산,3270000,240톤/주 ,2025-09-24
7,아연,"부산,인천,대구,전북",4780000,18톤/주 ,2025-09-24
8,주석(99.85%이상),"부산,인천,대구,전북",53490000,7톤/주 ,2025-09-24
9,주석(99.90%이상),"부산,인천,대구,전북",53640000,5톤/주 ,2025-09-24
10,니켈(합금용),"부산,인천,대구",25140000,6톤/주 ,2025-09-24
11,니켈(도금용),"부산,인천",25530000,4톤/주,2025-09-24
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4350000,통합60톤/주,2025-09-23
2,알루미늄(비서구산),"부산,인천,대구,전북",4340000,통합60톤/주,2025-09-23
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15510000,60톤/주 ,2025-09-23
4,납(99.99%이상),"인천,대구",3230000,240톤/주 ,2025-09-23
5,납(99.99%이상),전북,3150000,240톤/주 ,2025-09-23
6,납(99.99%이상),부산,3260000,240톤/주 ,2025-09-23
7,아연,"부산,인천,대구,전북",4790000,18톤/주 ,2025-09-23
8,주석(99.85%이상),"부산,인천,대구,전북",53020000,7톤/주 ,2025-09-23
9,주석(99.90%이상),"부산,인천,대구,전북",53180000,5톤/주 ,2025-09-23
10,니켈(합금용),"부산,인천,대구",24920000,6톤/주 ,2025-09-23
11,니켈(도금용),"부산,인천",25300000,4톤/주,2025-09-23
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4390000,통합60톤/주,2025-09-22
2,알루미늄(비서구산),"부산,인천,대구,전북",4380000,통합60톤/주,2025-09-22
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15560000,60톤/주 ,2025-09-22
4,납(99.99%이상),"인천,대구",3230000,240톤/주 ,2025-09-22
5,납(99.99%이상),전북,3150000,240톤/주 ,2025-09-22
6,납(99.99%이상),부산,3260000,240톤/주 ,2025-09-22
7,아연,"부산,인천,대구,전북",4790000,18톤/주 ,2025-09-22
8,주석(99.85%이상),"부산,인천,대구,전북",53280000,7톤/주 ,2025-09-22
9,주석(99.90%이상),"부산,인천,대구,전북",53440000,5톤/주 ,2025-09-22
10,니켈(합금용),"부산,인천,대구",25020000,6톤/주 ,2025-09-22
11,니켈(도금용),"부산,인천",25410000,4톤/주,2025-09-22
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4400000,통합60톤/주,2025-09-19
2,알루미늄(비서구산),"부산,인천,대구,전북",4380000,통합60톤/주,2025-09-19
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15410000,60톤/주 ,2025-09-19
4,납(99.99%이상),"인천,대구",3230000,240톤/주 ,2025-09-19
5,납(99.99%이상),전북,3150000,240톤/주 ,2025-09-19
6,납(99.99%이상),부산,3260000,240톤/주 ,2025-09-19
7,아연,"부산,인천,대구,전북",4780000,18톤/주 ,2025-09-19
8,주석(99.85%이상),"부산,인천,대구,전북",52310000,7톤/주 ,2025-09-19
9,주석(99.90%이상),"부산,인천,대구,전북",52470000,5톤/주 ,2025-09-19
10,니켈(합금용),"부산,인천,대구",24920000,6톤/주 ,2025-09-19
11,니켈(도금용),"부산,인천",25310000,4톤/주,2025-09-19
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4360000,통합60톤/주,2025-09-18
2,알루미늄(비서구산),"부산,인천,대구,전북",4350000,통합60톤/주,2025-09-18
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15410000,60톤/주 ,2025-09-18
4,납(99.99%이상),"인천,대구",3220000,240톤/주 ,2025-09-18
